contigIdx	contigIdxMate	AvgCoverage
390	1708	0.125473
391	391	7.97971
392	39	0.171721
392	392	27.8344
393	393	28.9088
393	1666	0.532269
394	394	11.5766
395	395	18.282
396	396	9.66382
397	397	9.88604
398	398	35.607
398	3577	0.124124
399	399	18.927
400	400	9.08451
401	401	12.8038
401	5035	0.0766224
402	402	16.7842
403	403	15.1375
403	734	0.263903
403	8051	0.209339
404	404	11.2942
405	405	12.184
406	406	12.1303
406	3583	0.0145054
406	5953	0.0113142
406	6636	0.010734
407	407	9.29688
408	408	27.8531
408	1527	0.117747
409	409	10.5844
410	410	21.6681
411	411	9.40354
412	412	25.4986
412	774	0.140802
412	3238	0.118868
413	413	36.8157
413	3556	0.096317
413	9138	0.0744121
414	414	17.5655
414	4330	0.196096
414	4843	0.0131608
415	415	13.8352
415	5308	0.0126663
416	416	16.2787
416	6350	0.0409143
416	10572	0.0105417
417	417	29.3389
418	418	11.2932
419	419	15.6609
419	7238	0.283823
419	8499	0.114565
420	420	12.3252
421	421	11.1775
422	422	9.34135
423	423	9.2368
424	424	8.88409
425	425	9.68046
426	426	7.81307
427	427	11.0716
428	428	17.743
429	429	18.8002
429	639	0.0900779
429	3211	0.169319
430	430	8.67863
431	431	13.467
432	432	8.19724
433	433	8.65613
434	434	22.4709
434	3137	0.0382364
435	435	84.387
435	793	0.123995
435	2142	0.0103948
435	4517	0.0123747
436	436	24.1477
437	437	13.2193
438	192	0.0166722
438	438	16.7768
439	439	20.8158
440	440	11.6669
440	8175	0.233667
441	441	16.1029
441	3990	0.271148
442	442	11.3545
443	443	29.5864
443	2782	0.293204
443	5093	0.538835
444	444	12.3228
444	6407	0.0518941
444	9406	0.0347691
445	445	11.4392
446	446	14.4016
447	447	20.5148
447	5923	0.199111
448	448	32.3699
448	10797	0.106204
449	449	11.7945
450	450	13.3502
451	451	8.153
452	452	31.9686
452	9270	0.231378
452	11025	0.140596
453	453	40.659
453	1965	0.329242
453	3309	0.120598
454	161	0.0114683
454	454	35.1649
454	4595	0.00920938
454	9242	0.121112
454	10769	0.1404
455	455	16.0888
456	456	15.0818
456	4962	0.0198059
456	8996	0.0180234
457	457	34.496
457	1582	0.483856
457	3021	0.0233184
457	9001	0.33139
458	458	9.01152
459	459	11.4672
460	460	22.2091
461	461	10.373
462	462	13.6499
462	3405	0.151423
462	10361	0.101118
463	463	13.6499
463	3366	0.0205201
464	464	11.9627
464	3533	0.0630225
465	465	17.5277
466	466	11.4512
467	467	72.1606
467	1594	0.698413
468	468	8.37674
469	469	11.2317
470	470	18.3038
470	8060	0.0630503
471	471	104.767
471	2238	0.0422535
471	5900	0.041831
472	472	12.0979
472	4955	0.0613982
473	473	9.94135
474	261	0.0178733
474	474	21.566
474	10202	0.182343
474	11324	0.125474
475	475	21.2169
475	8721	0.13732
476	476	25.8354
476	6717	0.235131
477	477	19.3403
477	10106	0.140392
478	478	13.1218
478	4932	0.0576798
479	479	15.3038
480	480	92.0975
480	9270	0.188119
480	11328	0.65099
481	481	9.3436
482	482	22.1272
482	4189	0.0230226
482	5687	0.0451333
482	11589	0.137224
483	483	20.4697
483	9387	0.363418
484	484	10.2212
485	485	11.8622
486	486	76.7445
486	10350	0.0180212
487	487	10.2854
488	488	13.1571
489	489	16.1923
490	490	8.09927
491	491	36.5758
491	2957	0.292477
491	4179	0.401835
492	492	9.1627
493	493	34.1804
493	7314	0.0912513
493	7315	0.0089048
493	9970	0.0179932
493	10270	0.124208
494	494	11.5694
494	3582	0.122412
495	495	17.3083
496	496	10.7473
497	497	20.0273
498	498	9.68728
499	499	14.3444
499	3002	0.0399682
500	500	19.2259
500	5926	0.106878
501	501	12.9349
502	502	9.42196
503	503	33.8618
503	914	0.0702283
503	6046	0.00871909
503	7088	0.0936906
504	503	0.025628
504	504	14.7107
504	914	0.017762
505	505	11.6697
505	3062	0.0154175
506	506	7.75333
507	507	7.70465
508	191	0.0445946
508	508	23.2297
509	509	18.5057
509	1767	0.0263158
509	10004	0.180563
510	510	22.5415
510	1652	0.0810269
511	511	15.7011
512	512	14.0757
512	5861	0.12685
513	513	26.4366
513	577	0.0937717
513	2279	0.0276265
513	2964	0.185761
514	157	0.284178
514	514	34.3545
514	4609	0.0483871
515	515	22.7478
516	516	10.8511
517	517	50.4663
517	7540	0.133888
517	9494	0.107862
518	518	13.9845
518	2469	0.0950533
518	4561	0.0480116
519	519	11.6589
519	8459	0.0580046
520	520	22.9281
521	521	24.2764
522	522	107.405
522	1443	0.706714
523	523	20.2067
523	8922	0.0729295
524	524	14.8517
525	174	0.0926606
525	286	0.100306
525	525	27.8858
525	527	0.152294
526	526	12.024
526	6948	0.0532765
527	177	0.0925359
527	286	0.0308963
527	525	0.153105
527	527	23.3235
528	528	16.0565
528	6423	0.107507
528	9961	0.181487
529	529	12.5679
530	530	15.3191
531	531	10.5244
532	532	11.1522
533	533	9.33123
534	534	17.3496
534	7791	0.043345
534	7815	0.0216725
535	535	24.3016
535	1921	0.0564326
535	4110	0.0678535
535	5527	0.0251931
536	536	12.633
537	537	32.1605
537	4328	0.0518277
538	538	28.5567
538	1866	0.210604
539	539	14.0501
539	2495	0.0496315
539	5675	0.0496315
540	540	35.3835
540	10028	0.2091
541	65	0.159172
541	541	25.7589
541	7992	0.198965
542	542	94.9337
542	5715	0.0443566
542	9938	0.219587
542	10840	0.130874
543	543	9.69338
544	544	9.42007
544	7606	0.0473511
545	545	12.5345
546	546	23.6174
546	11274	0.308676
547	547	16.7519
548	548	24.5236
548	3623	0.0630172
548	4395	0.0219605
549	549	10.0298
550	550	10.1826
551	551	8.74574
552	552	30.6636
552	7237	0.503849
553	553	14.4615
553	5444	0.0465779
554	554	9.20124
555	555	13.0883
555	10331	0.0513611
556	556	9.0645
557	557	28.4354
557	2349	0.304026
557	8838	0.721888
558	558	8.78445
559	559	10.5184
559	7490	0.0577965
560	560	15.99
561	561	34.6859
561	1048	0.0175193
561	7387	0.0697267
561	8005	0.0706027
561	10140	0.0522074
562	562	27.3891
562	11056	0.0624224
563	563	12.1991
564	564	22.0089
565	565	26.5743
566	566	8.19935
567	567	13.2345
568	568	13.8189
569	569	15.5284
570	570	9.63929
571	571	11.571
572	36	0.553991
572	572	65.6816
573	573	13.6252
573	11454	0.0378561
